Date,State,Category,Dollars,LastYear
2021-07-18,California,Alcohol,173073102,187083541
2021-07-25,California,Alcohol,171868983,185219837
2021-08-01,California,Alcohol,170939255,187139354
2021-08-08,California,Alcohol,169059625,185562836
2021-08-15,California,Alcohol,171027441,191192036
2021-08-22,California,Alcohol,164596846,185847658
2019-10-06,Colorado,Alcohol,6524510,1973678
2019-10-13,Colorado,Alcohol,6458970,1917103
2019-10-20,Colorado,Alcohol,6443371,1874614
2019-10-27,Colorado,Alcohol,6408804,1915485
2019-11-03,Colorado,Alcohol,6394185,1928826
2019-11-10,Colorado,Alcohol,5999212,1854607
2019-11-17,Colorado,Alcohol,6028805,2133597
2019-11-24,Colorado,Alcohol,6458612,2707059
2019-12-01,Colorado,Alcohol,8137555,1768804
2019-12-08,Colorado,Alcohol,5627518,1860699
2019-12-15,Colorado,Alcohol,6026857,2050309
2019-12-22,Colorado,Alcohol,7106173,2759324
2019-12-29,Colorado,Alcohol,7510802,2521158
2020-01-05,Colorado,Alcohol,6545097,2849379
2020-01-12,Colorado,Alcohol,5367447,3342568
2020-01-19,Colorado,Alcohol,5783475,3692629
2020-01-26,Colorado,Alcohol,5727551,3795255
2020-02-02,Colorado,Alcohol,6502024,4433680
2020-02-09,Colorado,Alcohol,6429022,4414176
2020-02-16,Colorado,Alcohol,6184047,4323960
2020-02-23,Colorado,Alcohol,5980861,4237513
2020-03-01,Colorado,Alcohol,6030595,4508003
2020-03-08,Colorado,Alcohol,6555638,4456425
2020-03-15,Colorado,Alcohol,8603789,5291706
2020-03-22,Colorado,Alcohol,9216765,4678831
2020-03-29,Colorado,Alcohol,8003372,4685974
2020-04-05,Colorado,Alcohol,7336893,4917911
2020-04-12,Colorado,Alcohol,8119204,5050917
2020-04-19,Colorado,Alcohol,7388726,5804257
2020-04-26,Colorado,Alcohol,8221776,5380500
2020-05-03,Colorado,Alcohol,9025869,5607380
2020-05-10,Colorado,Alcohol,9090581,5662621
2020-05-17,Colorado,Alcohol,8831550,5950549
2020-05-24,Colorado,Alcohol,10401093,6605634
2020-05-31,Colorado,Alcohol,9546330,6683783
2020-06-07,Colorado,Alcohol,9528185,6567495
2020-06-14,Colorado,Alcohol,9506602,6904252
2020-06-21,Colorado,Alcohol,9803785,6569494
2020-06-28,Colorado,Alcohol,9479086,7397897
2020-07-05,Colorado,Alcohol,11614579,9738813
2020-07-12,Colorado,Alcohol,9214754,7142520
2020-07-19,Colorado,Alcohol,9265504,7605687
2020-07-26,Colorado,Alcohol,9078486,7408693
2020-08-02,Colorado,Alcohol,9217090,7616029
2020-08-09,Colorado,Alcohol,9394020,7348350
2020-08-16,Colorado,Alcohol,9262633,7359363
2020-08-23,Colorado,Alcohol,9083262,7266902
2020-08-30,Colorado,Alcohol,8680332,8118946
2020-09-06,Colorado,Alcohol,9696200,7614196
2020-09-13,Colorado,Alcohol,8566708,7061044
2020-09-20,Colorado,Alcohol,8687962,6956451
2020-09-27,Colorado,Alcohol,8569525,6770801
2020-10-04,Colorado,Alcohol,8271695,6524510
2020-10-11,Colorado,Alcohol,8360906,6458970
2020-10-18,Colorado,Alcohol,7982405,6443371
2020-10-25,Colorado,Alcohol,7868534,6408804
2020-11-01,Colorado,Alcohol,8173512,6394185
2020-11-08,Colorado,Alcohol,7837679,5999212
2020-11-15,Colorado,Alcohol,7464858,6028805
2020-11-22,Colorado,Alcohol,8148421,6458612
2020-11-29,Colorado,Alcohol,8816763,8137555
2020-12-06,Colorado,Alcohol,7405299,5627518
2020-12-13,Colorado,Alcohol,7959943,6026857
2020-12-20,Colorado,Alcohol,8547407,7106173
2020-12-27,Colorado,Alcohol,9520099,7510802
2021-01-03,Colorado,Alcohol,8954447,6545961
2021-01-10,Colorado,Alcohol,6968476,5367985
2021-01-17,Colorado,Alcohol,7478728,5784273
2021-01-24,Colorado,Alcohol,7314829,5728217
